"concert_type","concert_date","concert_title","concert_artist","repertoire_file","repertoire_title","repertoire_artist","repertoire_duration","download_link"
"PERFORMANCE","11 Sep 2008","Simon Rattle conducts Messiaen’s “Turangalîla-Symphonie”","Berliner Philharmoniker | Sir Simon Rattle","17-1","Richard Wagner Tristan und Isolde: Prelude to Act 1 and Liebestod (21 min.)","","00:21:29","https://world-vod.dchdns.net/hlss/dch/17-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","11 Sep 2008","Simon Rattle conducts Messiaen’s “Turangalîla-Symphonie”","Berliner Philharmoniker | Sir Simon Rattle","17-2","Olivier Messiaen Turangalîla-Symphonie for piano, ondes martenot and large orchestra (81 min.)","Pierre-Laurent Aimard Piano, Tristan Murail Ondes Martenot","01:21:13","https://world-vod.dchdns.net/hlss/dch/17-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Feb 2009","A Schumann evening with Simon Rattle and Mitsuko Uchida","Berliner Philharmoniker | Sir Simon Rattle","18-1","Robert Schumann Concert Piece for four horns and large orchestra in F major, op. 86 (21 min.)","Stefan Dohr Horn, Radek Baborák Horn, Stefan de Leval Jezierski Horn, Sarah Willis Horn","00:21:14","https://world-vod.dchdns.net/hlss/dch/18-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Feb 2009","A Schumann evening with Simon Rattle and Mitsuko Uchida","Berliner Philharmoniker | Sir Simon Rattle","18-2","Robert Schumann Concerto for Piano and Orchestra in A minor, op. 54 (34 min.)","Mitsuko Uchida Piano","00:34:32","https://world-vod.dchdns.net/hlss/dch/18-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Feb 2009","A Schumann evening with Simon Rattle and Mitsuko Uchida","Berliner Philharmoniker | Sir Simon Rattle","18-3","Bernd Alois Zimmermann Symphony in one movement (second version from 1953) (17 min.)","","00:17:04","https://world-vod.dchdns.net/hlss/dch/18-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Feb 2009","A Schumann evening with Simon Rattle and Mitsuko Uchida","Berliner Philharmoniker | Sir Simon Rattle","18-4","Robert Schumann Symphony No. 4 in D minor, op. 120 (first version from 1841) (28 min.)","","00:28:45","https://world-vod.dchdns.net/hlss/dch/18-4/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Feb 2009","A Schumann evening with Simon Rattle and Mitsuko Uchida","Berliner Philharmoniker | Sir Simon Rattle","18-5","Interview Mitsuko Uchida in conversation with Sarah Willis (17 min.)","","00:17:00","https://world-vod.dchdns.net/hlss/dch/18-5/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Jun 2009","Daniel Barenboim conducts Strauss and Carter","Berliner Philharmoniker | Daniel Barenboim","19-1","Richard Strauss Don Juan, op. 20 (20 min.)","","00:20:05","https://world-vod.dchdns.net/hlss/dch/19-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Jun 2009","Daniel Barenboim conducts Strauss and Carter","Berliner Philharmoniker | Daniel Barenboim","19-2","Elliott Carter Concerto for Flute and Orchestra (European première) (16 min.)","Emmanuel Pahud Flute","00:16:25","https://world-vod.dchdns.net/hlss/dch/19-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Jun 2009","Daniel Barenboim conducts Strauss and Carter","Berliner Philharmoniker | Daniel Barenboim","19-3","Elliott Carter Dialogues for piano and orchestra (16 min.)","Nicolas Hodges Piano","00:16:10","https://world-vod.dchdns.net/hlss/dch/19-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Jun 2009","Daniel Barenboim conducts Strauss and Carter","Berliner Philharmoniker | Daniel Barenboim","19-4","Richard Strauss Till Eulenspiegels lustige Streiche (Till Eulenspiegel’s Merry Pranks), op. 28 (20 min.)","","00:20:31","https://world-vod.dchdns.net/hlss/dch/19-4/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Jun 2009","Daniel Barenboim conducts Strauss and Carter","Berliner Philharmoniker | Daniel Barenboim","19-5","Interview Emmanuel Pahud in conversation with Lydia Rilling (16 min.)","","00:16:45","https://world-vod.dchdns.net/hlss/dch/19-5/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","13 Dec 2008","Christian Thielemann conducts Bruckner’s Eighth Symphony","Berliner Philharmoniker | Christian Thielemann","20-1","Anton Bruckner Symphony No. 8 in C minor (87 min.)","","01:27:29","https://world-vod.dchdns.net/hlss/dch/20-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","14 Mar 2009","Wagner’s “Wesendonck Lieder” with Anja Kampe and Michael Boder","Berliner Philharmoniker | Michael Boder","21-1","Elliott Carter A Celebration of some 100 x 150 notes (5 min.)","","00:05:04","https://world-vod.dchdns.net/hlss/dch/21-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","14 Mar 2009","Wagner’s “Wesendonck Lieder” with Anja Kampe and Michael Boder","Berliner Philharmoniker | Michael Boder","21-2","Robert Schumann Symphony No. 3 in E flat major, op. 97 “Rhenish” (36 min.)","","00:36:37","https://world-vod.dchdns.net/hlss/dch/21-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","14 Mar 2009","Wagner’s “Wesendonck Lieder” with Anja Kampe and Michael Boder","Berliner Philharmoniker | Michael Boder","21-3","Richard Wagner Wesendonck Lieder (orchestrated by Felix Mottl and Richard Wagner) (24 min.)","Anja Kampe Soprano","00:24:46","https://world-vod.dchdns.net/hlss/dch/21-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","14 Mar 2009","Wagner’s “Wesendonck Lieder” with Anja Kampe and Michael Boder","Berliner Philharmoniker | Michael Boder","21-4","Witold Lutosławski Concerto for Orchestra (33 min.)","","00:33:11","https://world-vod.dchdns.net/hlss/dch/21-4/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","14 Mar 2009","Wagner’s “Wesendonck Lieder” with Anja Kampe and Michael Boder","Berliner Philharmoniker | Michael Boder","21-5","Interview Michael Boder in conversation with Fergus McWilliam (19 min.)","","00:19:19","https://world-vod.dchdns.net/hlss/dch/21-5/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","14 Nov 2008","Simon Rattle conducts Brahms’s Symphonies No. 3 and 4","Berliner Philharmoniker | Sir Simon Rattle","22-1","Johannes Brahms Symphony No. 3 in F major, op. 90 (41 min.)","","00:41:47","https://world-vod.dchdns.net/hlss/dch/22-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","14 Nov 2008","Simon Rattle conducts Brahms’s Symphonies No. 3 and 4","Berliner Philharmoniker | Sir Simon Rattle","22-2","Johannes Brahms Symphony No. 4 in E minor, op. 98 (45 min.)","","00:45:31","https://world-vod.dchdns.net/hlss/dch/22-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","15 Sep 2008","Simon Rattle conducts Bruckner’s Ninth and Schreker’s Chamber Symphony","Berliner Philharmoniker | Sir Simon Rattle","23-1","Franz Schreker Chamber Symphony (28 min.)","Karajan Academy","00:28:52","https://world-vod.dchdns.net/hlss/dch/23-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","15 Sep 2008","Simon Rattle conducts Bruckner’s Ninth and Schreker’s Chamber Symphony","Berliner Philharmoniker | Sir Simon Rattle","23-2","Anton Bruckner Symphony No. 9 in D minor (64 min.)","","01:04:48","https://world-vod.dchdns.net/hlss/dch/23-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","17 Jan 2009","Bernard Haitink conducts Mahler’s Seventh Symphony","Berliner Philharmoniker | Bernard Haitink","24-1","Gustav Mahler Symphony No. 7 in E minor (90 min.)","","01:30:13","https://world-vod.dchdns.net/hlss/dch/24-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","17 May 2009","Mendelssohn’s “Elijah” with Seiji Ozawa, Matthias Goerne and Annette Dasch","Berliner Philharmoniker | Seiji Ozawa","25-1","Felix Mendelssohn Elijah, oratorio, op. 70 (131 min.)","Annette Dasch Soprano, Gal James Soprano, Nathalie Stutzmann Contralto, Nadine Weissmann Contralto, Paul O’Neill Tenor, Anthony Dean Griffey Tenor, Matthias Goerne Baritone, Fernando Javier Radó Bass, Viktor Rud Bass, Rundfunkchor Berlin, Simon Halsey Chorus Master","02:11:21","https://world-vod.dchdns.net/hlss/dch/25-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","17 May 2009","Mendelssohn’s “Elijah” with Seiji Ozawa, Matthias Goerne and Annette Dasch","Berliner Philharmoniker | Seiji Ozawa","25-2","Interview Seiji Ozawa in conversation with Fergus McWilliam (17 min.)","","00:17:44","https://world-vod.dchdns.net/hlss/dch/25-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","18 Oct 2008","David Zinman conducts Beethoven and the “Neruda Songs” by Peter Lieberson","Berliner Philharmoniker | David Zinman","26-1","Luciano Berio Quattro versioni originali della Ritirata notturna di Madrid di L. Boccherini (8 min.)","","00:08:36","https://world-vod.dchdns.net/hlss/dch/26-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","18 Oct 2008","David Zinman conducts Beethoven and the “Neruda Songs” by Peter Lieberson","Berliner Philharmoniker | David Zinman","26-2","Peter Lieberson Neruda Songs (34 min.)","Kelley O’Connor Mezzo-Soprano","00:34:56","https://world-vod.dchdns.net/hlss/dch/26-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","18 Oct 2008","David Zinman conducts Beethoven and the “Neruda Songs” by Peter Lieberson","Berliner Philharmoniker | David Zinman","26-3","Ludwig van Beethoven Symphony No. 7 in A major, op. 92 (42 min.)","","00:42:06","https://world-vod.dchdns.net/hlss/dch/26-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","19 Apr 2009","Dvořák’s Cello Concerto with Steven Isserlis and Alan Gilbert","Berliner Philharmoniker | Alan Gilbert","27-1","Antonín Dvořák The Noon Witch, op. 108 (17 min.)","","00:17:19","https://world-vod.dchdns.net/hlss/dch/27-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","19 Apr 2009","Dvořák’s Cello Concerto with Steven Isserlis and Alan Gilbert","Berliner Philharmoniker | Alan Gilbert","27-2","Antonín Dvořák Concerto for Cello and Orchestra in B minor, op. 104 (43 min.)","Steven Isserlis cello","00:43:07","https://world-vod.dchdns.net/hlss/dch/27-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","19 Apr 2009","Dvořák’s Cello Concerto with Steven Isserlis and Alan Gilbert","Berliner Philharmoniker | Alan Gilbert","27-3","Bohuslav Martinů Symphony No. 4 (39 min.)","","00:39:12","https://world-vod.dchdns.net/hlss/dch/27-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","19 Apr 2009","Dvořák’s Cello Concerto with Steven Isserlis and Alan Gilbert","Berliner Philharmoniker | Alan Gilbert","27-4","Interview Alan Gilbert in conversation with Emmanuel Pahud (11 min.)","","00:11:11","https://world-vod.dchdns.net/hlss/dch/27-4/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","21 Dec 2008","Zubin Mehta conducts Mahler’s Third Symphony","Berliner Philharmoniker | Zubin Mehta","28-1","Gustav Mahler Symphony No. 3 in D minor (98 min.)","Lioba Braun Alto, Women of the Rundfunkchor Berlin, Robin Gritton Chorus Master, Tölzer Knabenchor, Gerhard Schmidt-Gaden Chorus Master","01:38:00","https://world-vod.dchdns.net/hlss/dch/28-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","22 Mar 2009","Nikolaus Harnoncourt conducts Haydn’s “Orlando paladino”","Berliner Philharmoniker | Nikolaus Harnoncourt","29-1","Joseph Haydn Orlando Paladino, Dramma eroicomico, Hob. XXVIII:I (concert performance) (159 min.)","Jane Archibald Angelica, Mojca Erdmann Eurilla, Michelle Breedt Alcina, Kurt Streit Orlando, James Taylor Medoro, Markus Schäfer Pasquale, Paul O’Neill Licone, Jonathan Lemalu Rodomonte, Markus Butter Caronte","02:39:57","https://world-vod.dchdns.net/hlss/dch/29-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","22 Mar 2009","Nikolaus Harnoncourt conducts Haydn’s “Orlando paladino”","Berliner Philharmoniker | Nikolaus Harnoncourt","29-2","Interview Nikolaus Harnoncourt on Haydn’s “Orlando Paladino” (17 min.)","","00:17:24","https://world-vod.dchdns.net/hlss/dch/29-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","24 Jan 2009","Robert Schumann’s Violin Concerto with Isabelle Faust and Sakari Oramo","Berliner Philharmoniker | Sakari Oramo","30-1","Bernd Alois Zimmermann Photoptosis (13 min.)","","00:13:40","https://world-vod.dchdns.net/hlss/dch/30-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","24 Jan 2009","Robert Schumann’s Violin Concerto with Isabelle Faust and Sakari Oramo","Berliner Philharmoniker | Sakari Oramo","30-2","Robert Schumann Concerto for Violin and Orchestra in D minor (38 min.)","Isabelle Faust Violin","00:38:39","https://world-vod.dchdns.net/hlss/dch/30-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","24 Jan 2009","Robert Schumann’s Violin Concerto with Isabelle Faust and Sakari Oramo","Berliner Philharmoniker | Sakari Oramo","30-3","Robert Schumann Symphony No. 2 in C Major, op. 61 (41 min.)","","00:41:52","https://world-vod.dchdns.net/hlss/dch/30-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","24 May 2009","Claudio Abbado conducts Schubert, Debussy and Mahler","Berliner Philharmoniker | Claudio Abbado","31-1","Franz Schubert Rosamunde, incidental music, D 797 (30 min.)","Angelika Kirchschlager Mezzo-Soprano, Rundfunkchor Berlin, Simon Halsey Chorus Master","00:30:57","https://world-vod.dchdns.net/hlss/dch/31-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","24 May 2009","Claudio Abbado conducts Schubert, Debussy and Mahler","Berliner Philharmoniker | Claudio Abbado","31-2","Gustav Mahler Des Knaben Wunderhorn: Lob des hohen Verstandes · Wo die schönen Trompeten blasen · Rheinlegendchen (16 min.)","Angelika Kirchschlager Mezzo-Soprano","00:16:15","https://world-vod.dchdns.net/hlss/dch/31-2/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","24 May 2009","Claudio Abbado conducts Schubert, Debussy and Mahler","Berliner Philharmoniker | Claudio Abbado","31-3","Claude Debussy La Mer, trois esquisses symphoniques for orchestra (30 min.)","","00:30:01","https://world-vod.dchdns.net/hlss/dch/31-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","24 May 2009","Claudio Abbado conducts Schubert, Debussy and Mahler","Berliner Philharmoniker | Claudio Abbado","31-4","Interview Simon Halsey on Schubert, Mahler, Debussy and Claudio Abbado (16 min.)","","00:16:18","https://world-vod.dchdns.net/hlss/dch/31-4/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","25 Apr 2009","Peter Eötvös conducts Zimmermann’s “Requiem for a Young Poet”","Berliner Philharmoniker | Peter Eötvös","32-1","Johann Sebastian Bach Chorale Preludes “Komm, Gott, Schöpfer, Heiliger Geist” and “Schmücke Dich, o liebe Seele” (8 min.)","","00:08:46","https://world-vod.dchdns.net/hlss/dch/32-1/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","25 Apr 2009","Peter Eötvös conducts Zimmermann’s “Requiem for a Young Poet”","Berliner Philharmoniker | Peter Eötvös","32-3","Richard Wagner Siegfried Idyll (20 min.)","","00:20:59","https://world-vod.dchdns.net/hlss/dch/32-3/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","25 Apr 2009","Peter Eötvös conducts Zimmermann’s “Requiem for a Young Poet”","Berliner Philharmoniker | Peter Eötvös","32-4","Bernd Alois Zimmermann Requiem for a Young Poet (69 min.)","Caroline Stein Soprano, Claudio Otelli Baritone, Michael Rotschopf Speaker, Thomas Wittmann Speaker, Rundfunkchor Berlin, James Wood Chorus Master, MDR Rundfunkchor , Howard Arman Chorus Master, Philipp Ahmann Chorus Master, Celso Antunes Chorus Master, João Rafael Sound Direction","01:09:48","https://world-vod.dchdns.net/hlss/dch/32-4/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
"PERFORMANCE","25 Apr 2009","Peter Eötvös conducts Zimmermann’s “Requiem for a Young Poet”","Berliner Philharmoniker | Peter Eötvös","32-5","Interview Peter Eötvös on Zimmermann’s “Requiem für einen jungen Dichter” (12 min.)","","00:12:59","https://world-vod.dchdns.net/hlss/dch/32-5/,h264_LOW_THREE,h264_HIGH,h264_VERY_HIGH_ONE,.mp4.urlset/master.m3u8"
